Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,1753.510010,1784.160034,1753.510010,1761.849976,1761.849976,6364161
2019-03-20,1769.939941,1799.500000,1767.033813,1797.270020,1797.270020,6265633
2019-03-21,1796.260010,1823.750000,1787.281006,1819.260010,1819.260010,5767797
2019-03-22,1810.170044,1818.979980,1763.109985,1764.770020,1764.770020,6362983
2019-03-25,1757.790039,1782.675049,1747.500000,1774.260010,1774.260010,5103803
2019-03-26,1793.000000,1805.770020,1773.359741,1783.760010,1783.760010,4865880
2019-03-27,1784.130005,1787.500000,1745.680054,1765.699951,1765.699951,4324801
2019-03-28,1770.000000,1777.930054,1753.469971,1773.420044,1773.420044,3042958
2019-03-29,1786.579956,1792.859985,1776.630005,1780.750000,1780.750000,3320793
2019-04-01,1800.109985,1815.670044,1798.729980,1814.189941,1814.189941,4238752
2019-04-02,1811.020020,1820.000000,1805.120972,1813.979980,1813.979980,3448115
2019-04-03,1826.719971,1830.000000,1809.619995,1820.699951,1820.699951,3980590
2019-04-04,1820.650024,1828.750000,1804.199951,1818.859985,1818.859985,3623867
2019-04-05,1829.000000,1838.579956,1825.189941,1837.280029,1837.280029,3640476
2019-04-08,1833.229980,1850.199951,1825.109985,1849.859985,1849.859985,3752841
2019-04-09,1845.489990,1853.089966,1831.780029,1835.839966,1835.839966,3714368
2019-04-10,1841.000000,1848.000000,1828.810059,1847.329956,1847.329956,2963973
2019-04-11,1848.699951,1849.949951,1840.310059,1844.069946,1844.069946,2654842
2019-04-12,1848.400024,1851.500000,1841.300049,1843.060059,1843.060059,3114413
2019-04-15,1842.000000,1846.849976,1818.900024,1844.869995,1844.869995,3724423
2019-04-16,1851.349976,1869.770020,1848.000000,1863.040039,1863.040039,3044618
2019-04-17,1872.989990,1876.473022,1860.439941,1864.819946,1864.819946,2893517
2019-04-18,1868.790039,1870.819946,1859.479980,1861.689941,1861.689941,2749882
2019-04-22,1855.400024,1888.420044,1845.640015,1887.310059,1887.310059,3373807
2019-04-23,1891.199951,1929.260010,1889.579956,1923.770020,1923.770020,4640441
2019-04-24,1925.000000,1929.689941,1898.160034,1901.750000,1901.750000,3675781
2019-04-25,1917.003540,1922.449951,1900.310059,1902.250000,1902.250000,6099101
2019-04-26,1929.000000,1951.000000,1898.000000,1950.630005,1950.630005,8432563
2019-04-29,1949.000000,1956.334961,1934.089966,1938.430054,1938.430054,4021255
2019-04-30,1930.099976,1935.709961,1906.949951,1926.520020,1926.520020,3506007
2019-05-01,1933.089966,1943.640015,1910.550049,1911.520020,1911.520020,3116964
2019-05-02,1913.329956,1921.550049,1881.869995,1900.819946,1900.819946,3962915
2019-05-03,1949.000000,1964.400024,1936.000000,1962.459961,1962.459961,6381564
2019-05-06,1917.979980,1959.000000,1910.500000,1950.550049,1950.550049,5417841
2019-05-07,1939.989990,1949.100464,1903.379517,1921.000000,1921.000000,5902134
2019-05-08,1918.869995,1935.369995,1910.000000,1917.770020,1917.770020,4078568
2019-05-09,1900.000000,1909.400024,1876.000000,1899.869995,1899.869995,5308263
2019-05-10,1898.000000,1903.790039,1856.000000,1889.979980,1889.979980,5717994
2019-05-13,1836.560059,1846.535034,1818.000000,1822.680054,1822.680054,5783410
2019-05-14,1839.500000,1852.439941,1815.750000,1840.119995,1840.119995,4629107
2019-05-15,1827.949951,1874.427002,1823.000000,1871.150024,1871.150024,4692642
2019-05-16,1885.939941,1917.510010,1882.290039,1907.569946,1907.569946,4707822
2019-05-17,1893.050049,1910.530029,1867.329956,1869.000000,1869.000000,4736618
2019-05-20,1852.689941,1867.780029,1835.540039,1858.969971,1858.969971,3798198
2019-05-21,1874.790039,1879.000000,1846.000000,1857.520020,1857.520020,4005122
2019-05-22,1851.780029,1871.484985,1851.000000,1859.680054,1859.680054,2936601
2019-05-23,1836.589966,1844.000000,1804.199951,1815.479980,1815.479980,4424265
2019-05-24,1835.890015,1841.760010,1817.850952,1823.280029,1823.280029,3369673
