Date,Open,High,Low,Close,Adj Close,Volume
2019-08-30,168.860001,170.860001,166.779999,167.509995,167.336090,7272712
2019-09-03,164.580002,165.910004,163.251999,164.169998,163.999557,7412770
2019-09-04,166.610001,169.059998,166.610001,168.759995,168.584793,5703009
2019-09-05,172.865005,179.990005,172.800003,179.740005,179.553421,17412125
2019-09-06,178.800003,181.089996,177.119995,178.649994,178.464523,9424419
2019-09-09,179.899994,183.979996,179.839996,180.500000,180.312592,10438133
2019-09-10,179.179993,184.250000,178.789993,183.179993,182.989822,8820305
2019-09-11,183.770004,186.270004,182.600601,184.330002,184.138641,9037782
2019-09-12,186.199997,188.399994,183.949997,184.270004,184.078705,8196025
2019-09-13,181.589996,183.080002,180.179993,181.940002,181.751099,8114787
2019-09-16,178.919998,181.600006,178.500000,180.210007,180.022888,5795796
2019-09-17,180.479996,181.235596,178.610001,181.070007,180.882004,5711828
2019-09-18,180.789993,181.419998,176.500000,179.979996,179.793137,6600942
2019-09-19,180.220001,180.960007,176.510101,176.940002,176.756287,6408569
2019-09-20,176.899994,177.850006,172.279999,172.690002,172.510712,8931295
2019-09-23,172.699997,176.669998,172.550003,174.839996,174.658447,6395647
2019-09-24,176.100006,177.289993,171.100006,172.529999,172.350891,8031045
2019-09-25,172.509995,179.020004,170.710007,178.229996,178.044952,7827672
2019-09-26,177.839996,178.190002,175.289993,177.339996,177.155884,5945648
2019-09-27,175.660004,177.699997,169.320007,171.759995,171.581665,9148974
2019-09-30,172.800003,174.479996,171.540100,174.070007,173.889282,4829977
2019-10-01,175.000000,181.000000,173.809998,174.000000,173.819351,9189150
2019-10-02,173.119995,173.600006,170.130005,173.039993,172.860321,7391544
2019-10-03,173.220001,181.559998,172.000000,181.309998,181.121780,11568265
2019-10-04,181.399994,183.149994,178.779999,181.970001,181.781097,6699005
2019-10-07,184.580002,188.339996,184.229996,184.330002,184.138641,12207839
2019-10-08,180.639999,180.639999,176.500000,177.229996,177.046005,11233566
2019-10-09,180.320007,182.699997,179.160095,180.710007,180.522400,7697082
2019-10-10,180.619995,185.080002,180.410004,183.029999,182.839996,8187889
2019-10-11,186.410004,189.339996,185.649994,185.990005,185.796890,11271668
2019-10-14,185.639999,187.369995,184.384995,186.529999,186.336334,5258394
2019-10-15,190.160004,199.289993,189.600006,196.369995,196.166153,16699633
2019-10-16,195.000000,199.220001,193.750000,194.210007,194.008408,10818828
2019-10-17,196.000000,197.814301,192.100006,194.289993,194.088257,6607924
2019-10-18,194.309998,195.619995,187.500000,190.490005,190.292267,7690605
2019-10-21,192.960007,196.550003,192.199997,196.009995,195.806503,6674181
2019-10-22,198.300003,202.529999,195.300003,195.610001,195.406921,8434228
2019-10-23,192.309998,195.660004,191.029999,195.089996,194.887436,7144250
2019-10-24,196.750000,198.210007,195.380005,196.860001,196.655640,5975933
2019-10-25,200.100006,205.380402,199.789993,204.539993,204.327652,10577288
2019-10-28,206.300003,208.899994,205.116806,206.789993,206.575317,8269791
2019-10-29,206.229996,206.490005,202.139999,202.919998,202.709335,5280920
2019-10-30,204.000000,204.229996,200.259995,203.000000,202.789261,5149038
2019-10-31,202.160004,203.000000,197.809998,201.020004,200.811295,5243315
2019-11-01,199.600006,203.889999,198.592499,202.589996,202.379669,7090956
2019-11-04,205.850006,211.000000,204.920303,210.500000,210.281464,9417905
2019-11-05,210.490005,211.539993,207.679993,209.610001,209.392395,7521712
2019-11-06,208.639999,209.669998,204.110001,207.630005,207.414429,6725335
2019-11-07,211.106003,211.699997,206.539993,208.339996,208.123703,7008498
2019-11-08,207.660004,209.050003,206.149994,207.779999,207.564270,4735187
2019-11-11,207.750000,209.110001,204.280106,208.179993,207.963837,6094736
2019-11-12,209.720001,211.860001,208.309998,209.610001,209.392395,7095971
2019-11-13,208.350006,209.460007,205.899994,208.570007,208.353455,7559124
2019-11-14,208.929993,209.880005,206.516006,209.789993,209.572174,13175171
2019-11-15,209.699997,211.779907,200.637695,204.190002,203.977997,26355409
2019-11-18,203.889999,213.350006,203.770004,212.279999,212.059616,14382963
2019-11-19,211.031998,211.979996,205.649994,207.990005,207.774078,10384506
2019-11-20,207.070007,214.550003,206.564301,211.179993,210.960770,11825438
2019-11-21,211.000000,213.240005,209.309998,210.179993,209.961792,7209730
2019-11-22,211.089996,212.963303,209.940002,210.889999,210.671036,5602470
2019-11-25,216.039993,221.410004,215.520004,221.210007,220.980331,12683686
2019-11-26,220.500000,220.689697,216.740005,217.000000,216.774719,9642023
2019-11-27,218.669998,220.050003,217.179993,218.240005,218.053604,5410718
2019-11-29,217.000000,218.139999,215.779999,216.740005,216.554886,3538924
2019-12-02,216.460007,217.000000,208.639999,209.250000,209.071289,9346742
